"path","format","bytes","width","height","source_reference","treatment"
"/assets/images/about/aerial-view-4-way-stop.jpg","jpg","1149475","1248","870","yes","retained"
"/assets/images/about/bio-mitchell.jpg","jpg","701554","704","1212","yes","retained"
"/assets/images/about/hero.png","png","801239","800","800","yes","retained"
"/assets/images/about/road-construction-paved-dirt.jpg","jpg","1133073","1248","870","yes","retained"
"/assets/images/about/roundabout-concrete-edge.jpg","jpg","814988","1248","870","yes","retained"
"/assets/images/about/team-mitchell.jpg","jpg","484808","672","800","yes","retained"
"/assets/images/careers/roadside-utilities.webp","webp","405596","1440","810","yes","retained"
"/assets/images/careers/roundabout-construction.webp","webp","642852","2560","1440","yes","retained"
"/assets/images/careers/utility-earthwork.webp","webp","283856","1152","928","yes","retained"
"/assets/images/careers/utility-installation.webp","webp","364516","1440","810","yes","retained"
"/assets/images/home-hero.png","png","6053789","2560","1440","yes","retained"
"/assets/images/home-how-we-work.jpg","jpg","1353166","1440","1506","yes","retained"
"/assets/images/home-who-we-work-with.png","png","4010391","2048","1536","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/card-1137.webp","webp","212290","1137","666","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/card-480.webp","webp","42622","480","281","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/card-960.webp","webp","155530","960","562","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-01-1296.webp","webp","422152","1296","1728","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-01-480.webp","webp","57306","480","640","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-01-960.webp","webp","243874","960","1280","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-02-1049.webp","webp","440110","1049","1400","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-02-480.webp","webp","89318","480","641","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-02-960.webp","webp","365940","960","1281","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-03-1166.webp","webp","474322","1166","1555","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-03-480.webp","webp","79856","480","640","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-03-960.webp","webp","329742","960","1280","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-04-1296.webp","webp","455342","1296","1728","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-04-480.webp","webp","72940","480","640","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-04-960.webp","webp","279930","960","1280","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-05-480.webp","webp","108876","480","641","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-05-944.webp","webp","412346","944","1260","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-06-1440.webp","webp","345120","1440","1920","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-06-480.webp","webp","40676","480","640","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-06-960.webp","webp","169314","960","1280","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-07-1296.webp","webp","441852","1296","1728","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-07-480.webp","webp","63574","480","640","yes","retained"
"/assets/images/projects/current/beatties-ford-road-sidewalk/gallery-07-960.webp","webp","266472","960","1280","yes","retained"
"/assets/images/projects/current/cms-bus-facility/card-480.webp","webp","31038","480","246","yes","retained"
"/assets/images/projects/current/cms-bus-facility/card-945.webp","webp","112544","945","485","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-01-480.webp","webp","117000","480","641","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-01-944.webp","webp","438412","944","1260","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-02-480.webp","webp","105112","480","641","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-02-944.webp","webp","403312","944","1260","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-03-1049.webp","webp","430804","1049","1400","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-03-480.webp","webp","89232","480","641","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-03-960.webp","webp","366596","960","1281","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-04-1728.webp","webp","471100","1728","1296","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-04-480.webp","webp","36338","480","360","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-04-960.webp","webp","154150","960","720","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-05-1555.webp","webp","447084","1555","1166","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-05-480.webp","webp","40366","480","360","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-05-960.webp","webp","175360","960","720","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-06-1555.webp","webp","479974","1555","1166","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-06-480.webp","webp","42674","480","360","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-06-960.webp","webp","187284","960","720","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-07-1555.webp","webp","459930","1555","1166","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-07-480.webp","webp","42550","480","360","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-07-960.webp","webp","180712","960","720","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-08-1728.webp","webp","479032","1728","1296","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-08-480.webp","webp","35782","480","360","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-08-960.webp","webp","153808","960","720","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-09-1166.webp","webp","412250","1166","1555","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-09-480.webp","webp","68874","480","640","yes","retained"
"/assets/images/projects/current/cms-bus-facility/gallery-09-960.webp","webp","287712","960","1280","yes","retained"
"/assets/images/projects/current/franklin-blvd-and-trenton-street/card-1296.webp","webp","210174","1296","680","yes","retained"
"/assets/images/projects/current/franklin-blvd-and-trenton-street/card-480.webp","webp","32274","480","252","yes","retained"
"/assets/images/projects/current/franklin-blvd-and-trenton-street/card-960.webp","webp","113724","960","504","yes","retained"
"/assets/images/projects/current/franklin-blvd-and-trenton-street/gallery-01-1920.webp","webp","449358","1920","1080","yes","retained"
"/assets/images/projects/current/franklin-blvd-and-trenton-street/gallery-01-480.webp","webp","41064","480","270","yes","retained"
"/assets/images/projects/current/franklin-blvd-and-trenton-street/gallery-01-960.webp","webp","138574","960","540","yes","retained"
"/assets/images/projects/current/franklin-blvd-and-trenton-street/gallery-02-1920.webp","webp","448584","1920","1080","yes","retained"
"/assets/images/projects/current/franklin-blvd-and-trenton-street/gallery-02-480.webp","webp","40940","480","270","yes","retained"
"/assets/images/projects/current/franklin-blvd-and-trenton-street/gallery-02-960.webp","webp","137260","960","540","yes","retained"
"/assets/images/projects/current/franklin-blvd-and-trenton-street/gallery-03-1920.webp","webp","390260","1920","1080","yes","retained"
"/assets/images/projects/current/franklin-blvd-and-trenton-street/gallery-03-480.webp","webp","37450","480","270","yes","retained"
"/assets/images/projects/current/franklin-blvd-and-trenton-street/gallery-03-960.webp","webp","124044","960","540","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/card-1920.webp","webp","369940","1920","1080","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/card-480.webp","webp","27934","480","270","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/card-960.webp","webp","107012","960","540","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/gallery-01-480.webp","webp","42580","480","360","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/gallery-01-640.webp","webp","75530","640","480","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/gallery-02-1920.webp","webp","369634","1920","1080","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/gallery-02-480.webp","webp","28084","480","270","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/gallery-02-960.webp","webp","107026","960","540","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/gallery-03-480.webp","webp","62616","480","360","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/gallery-03-640.webp","webp","112836","640","480","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/gallery-04-480.webp","webp","37024","480","360","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/gallery-04-640.webp","webp","66062","640","480","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/gallery-05-1920.webp","webp","277006","1920","1080","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/gallery-05-480.webp","webp","21748","480","270","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/gallery-05-960.webp","webp","83588","960","540","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/gallery-06-480.webp","webp","34520","480","360","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/gallery-06-640.webp","webp","61690","640","480","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/gallery-07-480.webp","webp","27226","480","360","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/gallery-07-640.webp","webp","48624","640","480","yes","retained"
"/assets/images/projects/current/intersections-of-lawyers-rd-at-indian-trail-fairview-rd/gallery-08-480.webp","webp","52262","480","640","yes","retained"
